date,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,home_score,away_score,result
2000-01-29,Vietnam,China,,,,12.0,12.0,-1.1098069565442277,12.179432187184673,13.289239143728901,17.0,2.0,31.0,1.0,1.5926,0.4815,2.3704,0.5185,0,3.0,0,2,A
2000-01-29,Zambia,Burkina Faso,,,,1.0,5.0,-4.353900901588424,0.9401892709384423,5.294090172526866,3.0,13.0,6.0,9.0,0.5926,0.8148,1.1111,1.1111,1,1.5,1,1,D
2000-01-30,United States Virgin Islands,Saint Lucia,,,,5.0,9.0,-4.066332307453804,4.4914191185846395,8.557751426038443,3.0,11.0,16.0,6.0,0.5556,2.037,1.5185,1.037,0,1.0,0,2,A
2000-01-31,Cameroon,Togo,,,,9.0,4.0,5.2129326032771734,9.240727336474578,4.027794733197404,7.0,3.0,3.0,12.0,1.037,0.5556,0.5926,1.2963,1,1.5,0,1,A
2000-01-31,Faroe Islands,Finland,,,,1.0,7.0,-7.632864482941252,0.5702536187570333,8.203118101698285,2.0,8.0,11.0,10.0,0.4444,1.4444,0.9259,1.0,1,1.5,0,1,A
2000-01-31,Ghana,Côte d'Ivoire,1590.0,1563.0,27.0,8.0,7.0,3.023923345871225,9.248378500395205,6.22445515452398,6.0,4.0,6.0,8.0,0.8889,0.5926,1.0,0.7407,0,1.5,0,2,A
2000-01-31,Iceland,Norway,,1904.0,,6.0,12.0,-5.332441617417332,5.0172282341419026,10.349669851559234,6.0,5.0,8.0,2.0,1.1111,0.6296,1.2963,0.5926,1,1.5,0,0,D
2000-01-31,Kuwait,Syria,,,,5.0,4.0,0.5833195288933268,3.9741409604656868,3.39082143157236,5.0,5.0,6.0,11.0,2.1852,0.7037,1.6667,1.037,0,1.0,4,0,H
2000-02-01,British Virgin Islands,Saint Lucia,,,,7.0,9.0,-3.710140877502324,6.272630888355774,9.982771765858098,8.0,8.0,15.0,5.0,0.7778,2.4815,1.4815,0.963,0,1.0,2,3,A
2000-02-01,Egypt,Burkina Faso,1629.0,,,9.0,6.0,4.309620144363291,9.982771765858098,5.6731516214948075,5.0,4.0,6.0,7.0,0.8148,0.963,1.1481,1.1481,1,1.5,4,2,H
2000-02-01,Zambia,Senegal,,1523.0,,2.0,8.0,-4.722520838875519,2.2823301899224475,7.004851028797966,3.0,12.0,6.0,2.0,0.6296,0.7778,1.1481,0.6667,1,1.5,2,2,D
2000-02-02,Armenia,Moldova,,,,4.0,3.0,2.2921544788637758,5.171790810626487,2.8796363317627116,6.0,8.0,3.0,10.0,0.6296,1.1111,0.4815,1.4815,1,1.5,2,1,H
2000-02-02,DR Congo,Gabon,1520.0,,,5.0,4.0,1.6231651813745778,4.760014873639596,3.1368496922650184,2.0,3.0,6.0,11.0,0.7778,0.7407,1.0,0.963,1,1.5,0,0,D
2000-02-02,Costa Rica,Chile,,,,10.0,4.0,7.252036045644251,10.38888573790927,3.1368496922650184,12.0,7.0,6.0,8.0,1.8519,1.0,1.0,1.0,0,1.0,1,0,H
2000-02-02,Cyprus,Lithuania,,,,4.0,4.0,-0.6391464266457465,3.5527879532575186,4.191934379903265,6.0,18.0,3.0,10.0,1.0741,1.4444,0.5926,1.1481,0,1.5,2,1,H
2000-02-02,Finland,Iceland,,,,10.0,7.0,5.581393622592677,11.038924949670609,5.457531327077931,10.0,6.0,6.0,4.0,0.9259,0.963,0.963,0.6296,1,1.5,0,1,A
2000-02-02,Romania,Latvia,,,,11.0,5.0,7.262928830759844,11.121105878351463,3.8581770475916195,15.0,4.0,8.0,11.0,1.2963,0.4074,0.8148,1.3704,1,1.5,2,0,H
2000-02-02,South Africa,Algeria,1648.0,1487.0,161.0,13.0,7.0,5.481342228966195,13.535559719115614,8.05421749014942,6.0,1.0,5.0,4.0,0.963,0.6296,0.8148,0.6667,1,1.5,1,1,D
2000-02-02,Saint Kitts and Nevis,Saint Lucia,,,,6.0,9.0,-6.075350488260422,5.0172282341419026,11.092578722402324,9.0,10.0,16.0,6.0,1.2222,1.4815,1.5556,1.0,0,1.0,0,1,A
2000-02-03,Nigeria,Morocco,,1758.0,,7.0,11.0,-3.0668883882020417,7.368451231953063,10.435339620155105,7.0,9.0,4.0,1.0,0.6667,1.3704,0.8519,0.8148,0,1.5,2,0,H
